,P_solar,P_wind,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,price($/MWh)
0,0.0,0.8901316835239317,0.18181818181818182,0.18181818181818188,0.1818181818181817,0.1818181818181817,0.1818181818181817,0.18181818181818182,0.18181818181818182,0.1818181818181817,0.1818181818181817,0.18181818181818188,0.1818181818181817,0.1818181818181817,0.1818181818181817,0.1818181818181817,0.1818181818181817,0.1818181818181817,0.18181818181818188,0.18181818181818188,0.18181818181818188,0.18181818181818188,0.18181818181818188,0.18181818181818188,0.18181818181818193,0.18181818181818193,0.1818181818181817,0.1818181818181817,0.1818181818181817,0.1818181818181817,0.18181818181818182,0.18181818181818182,0.18181818181818193,0.1818181818181817,0.0
1,0.0,0.7442700149734999,0.09090909090909091,0.09090909090909094,0.09090909090909086,0.09090909090909086,0.09090909090909086,0.09090909090909091,0.09090909090909091,0.09090909090909086,0.09090909090909086,0.09090909090909094,0.09090909090909086,0.09090909090909086,0.09090909090909086,0.09090909090909086,0.09090909090909086,0.09090909090909086,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909097,0.09090909090909097,0.09090909090909086,0.09090909090909086,0.09090909090909086,0.09090909090909086,0.09090909090909091,0.09090909090909091,0.09090909090909097,0.09090909090909086,0.0
2,0.0,0.6936641241739441,0.045454545454545456,0.04545454545454556,0.045454545454545296,0.045454545454545296,0.045454545454545296,0.045454545454545456,0.045454545454545456,0.045454545454545296,0.045454545454545296,0.04545454545454556,0.045454545454545296,0.045454545454545296,0.045454545454545296,0.045454545454545296,0.045454545454545296,0.045454545454545296,0.04545454545454556,0.04545454545454556,0.04545454545454556,0.04545454545454556,0.04545454545454556,0.04545454545454556,0.045454545454545484,0.045454545454545484,0.045454545454545296,0.045454545454545296,0.045454545454545296,0.045454545454545296,0.045454545454545456,0.045454545454545456,0.045454545454545484,0.045454545454545296,0.08333333333333333
3,0.0,0.6531371760792128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.583897760286647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
5,0.15034471808512173,0.5618511885701808,0.045454545454545456,0.04545454545454556,0.045454545454545296,0.045454545454545296,0.045454545454545296,0.045454545454545456,0.045454545454545456,0.045454545454545296,0.045454545454545296,0.04545454545454556,0.045454545454545296,0.045454545454545296,0.045454545454545296,0.045454545454545296,0.045454545454545296,0.045454545454545296,0.04545454545454556,0.04545454545454556,0.04545454545454556,0.04545454545454556,0.04545454545454556,0.04545454545454556,0.045454545454545484,0.045454545454545484,0.045454545454545296,0.045454545454545296,0.045454545454545296,0.045454545454545296,0.045454545454545456,0.045454545454545456,0.045454545454545484,0.045454545454545296,0.3333333333333333
6,0.3590225421254842,0.6531371760792128,0.18181818181818182,0.18181818181818188,0.1818181818181817,0.1818181818181817,0.1818181818181817,0.18181818181818182,0.18181818181818182,0.1818181818181817,0.1818181818181817,0.18181818181818188,0.1818181818181817,0.1818181818181817,0.1818181818181817,0.1818181818181817,0.1818181818181817,0.1818181818181817,0.18181818181818188,0.18181818181818188,0.18181818181818188,0.18181818181818188,0.18181818181818188,0.18181818181818188,0.18181818181818193,0.18181818181818193,0.1818181818181817,0.1818181818181817,0.1818181818181817,0.1818181818181817,0.18181818181818182,0.18181818181818182,0.18181818181818193,0.1818181818181817,0.4166666666666667
7,0.606982062855563,0.6611141682288805,0.45454545454545453,0.4545454545454547,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.45454545454545453,0.45454545454545453,0.4545454545454546,0.4545454545454546,0.4545454545454547,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454547,0.4545454545454547,0.4545454545454547,0.4545454545454547,0.4545454545454547,0.4545454545454547,0.45454545454545453,0.45454545454545453,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.4545454545454546,0.4166666666666667
8,0.8183973093526685,0.7356665347652921,0.7045454545454546,0.7045454545454545,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454545,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454545,0.7045454545454545,0.7045454545454545,0.7045454545454545,0.7045454545454545,0.7045454545454545,0.7045454545454545,0.7045454545454545,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454545,0.7045454545454546,0.4166666666666667
9,0.958144364025779,0.8060950275887954,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.3333333333333333
